id,titleType,originalTitle,startYear,runtimeMinutes,genres,rating,numVotes
tt0000001,short,Carmencita,1894,1,"Documentary,Short",5.6,1652
tt0000002,short,Le clown et ses chiens,1892,5,"Animation,Short",6.1,199
tt0000003,short,Pauvre Pierrot,1892,4,"Animation,Comedy,Romance",6.5,1363
tt0000004,short,Un bon bock,1892,12,"Animation,Short",6.2,121
tt0000005,short,Blacksmith Scene,1893,1,"Comedy,Short",6.2,2148
tt0000006,short,Chinese Opium Den,1894,1,Short,5.3,115
tt0000007,short,Corbett and Courtney Before the Kinetograph,1894,1,"Short,Sport",5.5,658
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,1894,1,"Documentary,Short",5.4,1820
tt0000009,movie,Miss Jerry,1894,45,Romance,5.9,156
tt0000010,short,La sortie de l'usine Lumière à Lyon,1895,1,"Documentary,Short",6.9,6070
tt0000011,short,Akrobatisches Potpourri,1895,1,"Documentary,Short",5.2,266
tt0000012,short,L'arrivée d'un train à La Ciotat,1896,1,"Action,Documentary,Short",7.4,10388
tt0000013,short,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon,1895,1,"Documentary,Short",5.7,1583
tt0000014,short,L'arroseur arrosé,1895,1,"Comedy,Short",7.1,4643
tt0000015,short,Autour d'une cabine,1894,2,"Animation,Short",6.1,823
tt0000016,short,Barque sortant du port,1895,1,"Documentary,Short",5.9,1211
tt0000017,short,Italienischer Bauerntanz,1895,1,"Documentary,Short",4.6,243
tt0000018,short,Das boxende Känguruh,1895,1,Short,5.3,480
tt0000019,short,The Clown Barber,1898,\N,"Comedy,Short",5.3,20
tt0000020,short,The Derby 1895,1895,1,"Documentary,Short,Sport",5,268
tt0000022,short,Les forgerons,1895,1,"Documentary,Short",5.1,895
tt0000023,short,Baignade en mer,1895,1,"Documentary,Short",5.7,1150
tt0000024,short,Opening of the Kiel Canal,1895,\N,"News,Short",4.5,54
tt0000025,short,The Oxford and Cambridge University Boat Race,1895,\N,"News,Short,Sport",4.2,29
tt0000026,short,Partie d'écarté,1896,1,"Documentary,Short",5.7,1317
tt0000027,short,Place des Cordeliers à Lyon,1895,1,"Documentary,Short",5.6,934
tt0000028,short,La pêche aux poissons rouges,1895,1,"Documentary,Short",5.1,861
tt0000029,short,Repas de bébé,1895,1,"Documentary,Short",5.9,2878
tt0000030,short,Rough Sea at Dover,1895,1,"Documentary,Short",5.2,690
tt0000031,short,Le saut à la couverture,1895,1,"Documentary,Short",5.5,842
tt0000032,short,Die Serpentintänzerin,1895,1,Short,5.1,341
tt0000033,short,La voltige,1895,1,"Comedy,Documentary,Short",5.6,859
tt0000034,short,Arrivée d'un train gare de Vincennes,1896,1,"Documentary,Short",5.3,135
tt0000035,short,L'arroseur,1896,1,"Comedy,Short",5.6,59
tt0000036,short,Awakening of Rip,1896,0,"Drama,Short",4.4,495
tt0000037,short,Baignade en mer,1896,1,Short,4.7,44
tt0000038,short,The Ball Game,1898,\N,"Documentary,Short,Sport",4.1,150
tt0000039,short,Barnet Horse Fair,1896,\N,Short,3.7,15
tt0000040,short,Barque sortant du port de Trouville,1896,\N,"Documentary,Short",4.3,40
tt0000041,short,Bataille de neige,1897,1,"Action,Comedy,Documentary",6.7,1466
tt0000042,short,Bateau-mouche sur la Seine,1896,\N,"Documentary,Short",4.8,24
tt0000043,short,Batteuse à vapeur,1896,\N,"Documentary,Short",4,15
tt0000044,short,Le bivouac,1896,1,Short,4.7,30
tt0000045,short,Les blanchisseuses,1896,\N,Short,4.9,19
tt0000046,short,Bois de Boulogne,1896,\N,"Documentary,Short",4.6,19
tt0000047,short,Boulevard des Italiens,1896,\N,"Documentary,Short",4,18
tt0000048,short,The Boxing Kangaroo,1896,\N,Short,4.8,129
